variable,dataFile,keepDiscard,notesForDL,codebookDescription,codebookValues,timeVarying,duplicated,dateTime,flag,notesForProvider,uniqueVar
tsmnet6,BC3_Household_Survey_Data,discard,,how many months ago was the net6 last soaked or dipped?,,NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::tsmnet6
tsmnet7,BC3_Household_Survey_Data,discard,,how many months ago was the net7 last soaked or dipped?,,NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::tsmnet7
tsmnet8,BC3_Household_Survey_Data,discard,,how many months ago was the net8 last soaked or dipped?,,NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::tsmnet8
tsmnet9,BC3_Household_Survey_Data,discard,,how many months ago was the net9 last soaked or dipped?,,NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::tsmnet9
tspray,BC3_Household_Survey_Data,keep,,"how many months ago was the dwelling last sprayed?if less than 1 month, enter 0",,NA,,,,,BC3_Household_Survey_Data::tspray
tv,BC3_Household_Survey_Data,keep,,television?,"1=Yes, 2=No, -9=Skipped",NA,,,,,BC3_Household_Survey_Data::tv
txarm,BC-3 mothers all visits database FINAL,discard,,Mothers Treatment Assignment,"1=SP, 2=DP",NA,,,,DROP - Use expanded,BC-3 mothers all visits database FINAL::txarm
txarm,BC-3 mothers expanded database FINAL,keep,,Mothers Treatment Assignment,"0=SP, 1=DP",NA,,,,,BC-3 mothers expanded database FINAL::txarm
txarm,Individual level database FINAL,discard,,Mothers Treatment Assignment,"0=SP, 1=DP",NA,,,,DROP - Use expanded,Individual level database FINAL::txarm
txarm,BC-3 children individual level database FINAL,discard,,Mothers Treatment Assignment,"1=SP, 2=DP",NA,,,,DROP - Use expanded,BC-3 children individual level database FINAL::txarm
txarm,BC-3 childs expanded database FINAL,discard,,Mothers Treatment Assignment,"1=SP, 2=DP",NA,,,,,BC-3 childs expanded database FINAL::txarm
unbreast,BC-3 childs all visit database FINAL,keep,,Unable to breastfeed or drink,1=checked,NA,,,,,BC-3 childs all visit database FINAL::unbreast
uniqueid,BC-3 mothers all visits database FINAL,discard,,Unique ID number (id + date),id number + 5-digit number,NA,,,,"DROP - not loading observation ID as a variable, just as key",BC-3 mothers all visits database FINAL::uniqueid
uniqueid,BC-3 mothers expanded database FINAL,discard,,Unique ID number = participant ID number + date,id number + 5-digit number,NA,,,,"DROP - not loading observation ID as a variable, just as key",BC-3 mothers expanded database FINAL::uniqueid
uniqueid,BC-3 childs all visit database FINAL,discard,,Unique ID number (Participant ID + date),id number + 5-digit number,NA,,,,,BC-3 childs all visit database FINAL::uniqueid
uniqueid,BC-3 childs expanded database FINAL,discard,,Unique ID number = participant ID number + date,id number + 5-digit number,NA,,,,,BC-3 childs expanded database FINAL::uniqueid
uprotein,BC-3 enrollment database FINAL,discard,,,"0=0,
1=1+,
2=2+,
3=3+",NA,,,,DROP - Use all visits,BC-3 enrollment database FINAL::uprotein
uprotein,BC-3 mothers all visits database FINAL,keep,,Urine protein,"0=0,
1=1+,
2=2+,
3=3+",NA,,,,,BC-3 mothers all visits database FINAL::uprotein
urine,BC-3 enrollment database FINAL,keep,,Urine for protein dip stick,"0=Not collected,
1=Collected
",NA,,,,,BC-3 enrollment database FINAL::urine
vagnalbd,BC-3 enrollment database FINAL,keep,,Vaginal bleeding,"0=Not present, 1=Present",NA,,,,,BC-3 enrollment database FINAL::vagnalbd
vagnalbd,BC-3 mothers all visits database FINAL,keep,,Vaginal bleeding,"0=Absent,
1=Present",NA,,,,,BC-3 mothers all visits database FINAL::vagnalbd
vagnalfd,BC-3 enrollment database FINAL,keep,,Leakage of watery vaginal fluid,"0=Not present, 1=Present",NA,,,,,BC-3 enrollment database FINAL::vagnalfd
vagnalfd,BC-3 mothers all visits database FINAL,keep,,Leakage of watery vaginal fluids,"0=Absent,
1=Present",NA,,,,,BC-3 mothers all visits database FINAL::vagnalfd
vdischarge,BC-3 enrollment database FINAL,keep,,Other abnormal vaginal discharge,"0=Not present, 1=Present",NA,,,,,BC-3 enrollment database FINAL::vdischarge
visdate,BC3_Household_Survey_Data,keep,,date of final visit,date,NA,,,,,BC3_Household_Survey_Data::visdate
visittype,BC-3 enrollment database FINAL,discard,,Type of visit,2 = Enrollment visit,NA,,,,DROP - Use expanded,BC-3 enrollment database FINAL::visittype
visittype,BC-3 mothers all visits database FINAL,keep,,Type of visit,"0=Non-routine visit,
1=Routine visit",NA,,,,,BC-3 mothers all visits database FINAL::visittype
visittype,BC-3 mothers expanded database FINAL,keep,,Type of visit,"0=Non-routine visit, 1=Routine visit",NA,,,,,BC-3 mothers expanded database FINAL::visittype
visittype,BC-3 childs all visit database FINAL,keep,,Type of visit,"0=Non-routine visit,
1=Routine visit(1,4,6,8 nad every 4 weeks thereafter)",NA,,,,,BC-3 childs all visit database FINAL::visittype
visittype,BC-3 childs expanded database FINAL,discard,,Type of visit,"0=Non-routine visit, 1=Routine visit, 2=Birth",NA,,,,,BC-3 childs expanded database FINAL::visittype
vom1,BC-3 mothers all visits database FINAL,discard,,Whether participant vomited day 1 dose,"0=No, 1=Vomit once",NA,,,,DROP - Use expanded,BC-3 mothers all visits database FINAL::vom1
vom1,BC-3 mothers expanded database FINAL,keep,,Whether participant vomited day 1 dose,"0=No,1=Vomit once,2=Vomit twice",NA,,,,,BC-3 mothers expanded database FINAL::vom1
vom2,BC-3 mothers all visits database FINAL,discard,,Whether participant vomited day 2 dose,"0=No, 1=Vomit once",NA,,,,DROP - Use expanded,BC-3 mothers all visits database FINAL::vom2
vom2,BC-3 mothers expanded database FINAL,keep,,Whether participant vomited day 2 dose,"0=No,1=Yes",NA,,,,,BC-3 mothers expanded database FINAL::vom2
vom3,BC-3 mothers all visits database FINAL,discard,,Whether participant vomited day 3 dose,"0=No, 1=Vomit once",NA,,,,DROP - Use expanded,BC-3 mothers all visits database FINAL::vom3
vom3,BC-3 mothers expanded database FINAL,keep,,Whether participant vomited day 3 dose,"0=No,1=Yes",NA,,,,,BC-3 mothers expanded database FINAL::vom3
vomdur,BC-3 enrollment database FINAL,discard,,Vomiting Duration,,NA,,,,DROP - Use all visits,BC-3 enrollment database FINAL::vomdur
vomdur,BC-3 mothers all visits database FINAL,keep,,Vomiting Duration,,NA,,,,,BC-3 mothers all visits database FINAL::vomdur
vomdur,BC-3 childs all visit database FINAL,keep,,Vomiting Duration,,NA,,,,,BC-3 childs all visit database FINAL::vomdur
vomgrade,BC-3 enrollment database FINAL,discard,,Vomiting Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",NA,,,,DROP - Use all visits,BC-3 enrollment database FINAL::vomgrade
vomgrade,BC-3 mothers all visits database FINAL,keep,,Vomiting Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",NA,,,,,BC-3 mothers all visits database FINAL::vomgrade
vomgrade,BC-3 childs all visit database FINAL,keep,,Vomiting Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",NA,,,,,BC-3 childs all visit database FINAL::vomgrade
vomite,BC-3 childs all visit database FINAL,keep,,Vomiting everything,1=checked,NA,,,,,BC-3 childs all visit database FINAL::vomite
vomitingae,Individual level database FINAL,discard,,(sum) vomitingAE,"0,1,2,3,4",NA,,,,aggregate observation data,Individual level database FINAL::vomitingae
vstatus,BC3_Household_Survey_Data,keep,,result of visit,"1=completed, 2= no competent respondent household member,3=Entire household absent, 5=Refuded, 9=other",NA,,,,,BC3_Household_Survey_Data::vstatus
watch,BC3_Household_Survey_Data,keep,, a watch?,"1=Yes, 2=No, -9=Skipped",NA,,,,,BC3_Household_Survey_Data::watch
wbc,BC-3 enrollment database FINAL,discard,,wbc,,NA,,,,DROP - Use expanded,BC-3 enrollment database FINAL::wbc
wbc,BC-3 mothers all visits database FINAL,keep,,WBC result,,NA,,,,DROP - Use all visits,BC-3 mothers all visits database FINAL::wbc
wbc,BC-3 mothers delivery database FINAL,keep,,WBC,,NA,,,,,BC-3 mothers delivery database FINAL::wbc
wbc,BC-3 mothers expanded database FINAL,discard,,WBC result,,NA,,,,DROP - Use all visits,BC-3 mothers expanded database FINAL::wbc
wbc,BC-3 childs all visit database FINAL,keep,,WBC result,,NA,,,,,BC-3 childs all visit database FINAL::wbc
wbc,BC-3 childs expanded database FINAL,discard,,WBC result,,NA,,,,DROP - Use all visits,BC-3 childs expanded database FINAL::wbc
wbcgrade,BC-3 enrollment database FINAL,discard,,WBC grade,"0 = no grade,
1 = grade 1,
2 = grade 2,
3 = grade 3,
4 = grade 4
",NA,,,,DROP - Use all visits,BC-3 enrollment database FINAL::wbcgrade
wbcgrade,BC-3 mothers all visits database FINAL,keep,,WBC grade,"0 = no grade,
1 = grade 1,
2 = grade 2,
3 = grade 3,
4 = grade 4
",NA,,,,,BC-3 mothers all visits database FINAL::wbcgrade
wbcgrade,BC-3 mothers delivery database FINAL,keep,,WBC grade,"0 = no grade,
1 = grade 1,
2 = grade 2,
3 = grade 3,
4 = grade 4
",NA,,,,,BC-3 mothers delivery database FINAL::wbcgrade
wbcgrade,BC-3 childs all visit database FINAL,keep,,WBC grade,"0 = no grade,
1 = grade 1,
2 = grade 2,
3 = grade 3,
4 = grade 4
",NA,,,,,BC-3 childs all visit database FINAL::wbcgrade
wealthcat,BC3_Household_Survey_Data,keep,,Wealth index categories,"1=poorest,2=middle,3=least poor",NA,,,,,BC3_Household_Survey_Data::wealthcat
weight,BC-3 enrollment database FINAL,discard,,Weight(kg),,NA,,,,DROP - Use expanded,BC-3 enrollment database FINAL::weight
weight,BC-3 mothers all visits database FINAL,discard,,Weight (kg),,NA,,,,DROP - Use expanded,BC-3 mothers all visits database FINAL::weight
weight,BC-3 mothers expanded database FINAL,keep,,Weight (kg),,NA,,,,,BC-3 mothers expanded database FINAL::weight
weight,BC-3 childs all visit database FINAL,keep,,Weight (kg),,NA,,,,,BC-3 childs all visit database FINAL::weight
weight,BC-3 childs expanded database FINAL,discard,,Weight (kg),,NA,,,,DROP - Use all visits,BC-3 childs expanded database FINAL::weight
weight1,BC-3 mothers delivery database FINAL,discard,,,,NA,,,,,BC-3 mothers delivery database FINAL::weight1
weight2,BC-3 mothers delivery database FINAL,discard,,Weight 2nd infant,,NA,,,,,BC-3 mothers delivery database FINAL::weight2
wheren1,BC3_Household_Survey_Data,discard,,where did you get the mosquito net1 from?,"1=Govt hospital, 2 Govt health center, 9=campaign/VHT, -9=skipped",NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::wheren1
wheren10,BC3_Household_Survey_Data,discard,,where did you get the mosquito net10 from?,"1=Govt hospital, 2 Govt health center, 9=campaign/VHT, -9=skipped",NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::wheren10
wheren2,BC3_Household_Survey_Data,discard,,where did you get the mosquito net2 from?,"1=Govt hospital, 2 Govt health center, 9=campaign/VHT, -9=skipped",NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::wheren2
wheren3,BC3_Household_Survey_Data,discard,,where did you get the mosquito net3 from?,"1=Govt hospital, 2 Govt health center, 9=campaign/VHT, -9=skipped",NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::wheren3
wheren4,BC3_Household_Survey_Data,discard,,where did you get the mosquito net4 from?,"1=Govt hospital, 2 Govt health center, 9=campaign/VHT, -9=skipped",NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::wheren4
wheren5,BC3_Household_Survey_Data,discard,,where did you get the mosquito net5 from?,"1=Govt hospital, 2 Govt health center, 9=campaign/VHT, -9=skipped",NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::wheren5
wheren6,BC3_Household_Survey_Data,discard,,where did you get the mosquito net6 from?,"1=Govt hospital, 2 Govt health center, 9=campaign/VHT, -9=skipped",NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::wheren6
wheren7,BC3_Household_Survey_Data,discard,,where did you get the mosquito net7 from?,"1=Govt hospital, 2 Govt health center, 9=campaign/VHT, -9=skipped",NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::wheren7
wheren8,BC3_Household_Survey_Data,discard,,where did you get the mosquito net8 from?,"1=Govt hospital, 2 Govt health center, 9=campaign/VHT, -9=skipped",NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::wheren8
wheren9,BC3_Household_Survey_Data,discard,,where did you get the mosquito net9 from?,"1=Govt hospital, 2 Govt health center, 9=campaign/VHT, -9=skipped",NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::wheren9
windowscat,BC3_Household_Survey_Data,discard,,Number of windows present,"0=None, 1 = 1 window, 2= 2 or more windows",NA,,,,,BC3_Household_Survey_Data::windowscat
withdrawaldate,BC-3 mothers expanded database FINAL,keep,,Date prematurely withdrawn from the study,Date,NA,,,,,BC-3 mothers expanded database FINAL::withdrawaldate
withdrawaldate,BC-3 childs expanded database FINAL,discard,,Date prematurely withdrawn from the study,date,NA,dup,date,,DROP - Use children individual,BC-3 childs expanded database FINAL::withdrawaldate
withdrawaldate,BC-3 children individual level database FINAL,keep,,Date prematurely withdrawn from the study,date,NA,yes,date,,Duplicate with enddate,BC-3 children individual level database FINAL::withdrawaldate
withdrawalreason,BC-3 mothers expanded database FINAL,keep,,Reason for study withdrawal,"1=Participant unable to be located for > 60 days
2=Participant moved out of study area
3=Participant death (complete Death CRF)
4=Withdrawal of informed consent
5=Inability to comply with the study schedule and procedures
6=At the discretion of the site investigator if the study is not in the best interest of the participant
7=Subject or parent/guardian judged by the site investigator to be at significant risk ..
8=Women found to have become HIV-infected during pregnancy or at delivery (infants excluded from study)
9=Participant completed the study ",NA,,,,,BC-3 mothers expanded database FINAL::withdrawalreason
withdrawalreason,Individual level database FINAL,keep,,Reason for study withdrawal,"1=Participant unable to be located for > 60 days
2=Participant moved out of study area
3=Participant death (complete Death CRF)
4=Withdrawal of informed consent
5=Inability to comply with the study schedule and procedures
6=At the discretion of the site investigator if the study is not in the best interest of the participant
7=Subject or parent/guardian judged by the site investigator to be at significant risk ..
8=Women found to have become HIV-infected during pregnancy or at delivery (infants excluded from study)
9=Participant completed the study ",NA,,,,,Individual level database FINAL::withdrawalreason
withdrawalreason,BC-3 childs expanded database FINAL,discard,,Reason for study withdrawal,"1=Participant unable to be located for > 60 days
2=Participant moved out of study area
3=Participant death (complete Death CRF)
4=Withdrawal of informed consent
5=Inability to comply with the study schedule and procedures
6=At the discretion of the site investigator if the study is not in the best interest of the participant
7=Subject or parent/guardian judged by the site investigator to be at significant risk ..
8=Women found to have become HIV-infected during pregnancy or at delivery (infants excluded from study)
9=Participant completed the study ",NA,dup,,,DROP - Use children individual,BC-3 childs expanded database FINAL::withdrawalreason
withdrawalreason,BC-3 children individual level database FINAL,keep,,Reason for study withdrawal,"1=Participant unable to be located for > 60 days
2=Participant moved out of study area
3=Participant death (complete Death CRF)
4=Withdrawal of informed consent
5=Inability to comply with the study schedule and procedures
6=At the discretion of the site investigator if the study is not in the best interest of the participant
7=Subject or parent/guardian judged by the site investigator to be at significant risk ..
8=Women found to have become HIV-infected during pregnancy or at delivery (infants excluded from study)
9=Participant completed the study ",NA,,,,,BC-3 children individual level database FINAL::withdrawalreason
wksage,BC-3 childs all visit database FINAL,keep,,if routine visit weeks of age,,NA,,,,,BC-3 childs all visit database FINAL::wksage
wksage,BC-3 childs expanded database FINAL,discard,,if routine visit weeks of age,,NA,,,,DROP - Use all visits,BC-3 childs expanded database FINAL::wksage
wndcov1,BC3_Household_Survey_Data,discard,,observation: is the window1 covered?,"1=completely covered, 2=partially covered, 3=open, -9=skipped",NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::wndcov1
