variable,dataFile,keepDiscard,notesForDL,codebookDescription,codebookValues,timeVarying,duplicated,dateTime,flag,notesForProvider,uniqueVar,IRI,Label,definition,category,parentLabel,parentIRI,termType
rogerson,BC-3 childs expanded database FINAL,discard,,Placental malaria by Rogerson criteria,"0=No parasites or pigment, 1=Parasites-no pigment in monocytes or fibrin, 2=Parasites-pigment in monocytes +/- fibrin, 3=parasites- pigment in fibrin only, 4=pigment only",,dup,,,DROP. USE INDIV,rogerson|BC-3 childs expanded database FINAL,,,,,,,
survivaltime,BC-3 children individual level database FINAL,discard,,Time to event for survival analysis,,,,,,Drop.,survivaltime|BC-3 children individual level database FINAL,,,,,,,
withdrawaldate,BC-3 childs expanded database FINAL,discard,,Date prematurely withdrawn from the study,date,,dup,date,,DROP. USE INDIV,withdrawaldate|BC-3 childs expanded database FINAL,,,,,,,
withdrawalreason,BC-3 childs expanded database FINAL,discard,,Reason for study withdrawal,"1=Participant unable to be located for > 60 days
2=Participant moved out of study area
3=Participant death (complete Death CRF)
4=Withdrawal of informed consent
5=Inability to comply with the study schedule and procedures
6=At the discretion of the site investigator if the study is not in the best interest of the participant
7=Subject or parent/guardian judged by the site investigator to be at significant risk ..
8=Women found to have become HIV-infected during pregnancy or at delivery (infants excluded from study)
9=Participant completed the study ",,dup,,,DROP. USE INDIV,withdrawalreason|BC-3 childs expanded database FINAL,,,,,,,
age,BC-3 childs expanded database FINAL,keep,,Age in months,,,,,,,age|BC-3 childs expanded database FINAL,,,,,,,
age0to12,BC-3 children individual level database FINAL,discard,,(sum) age0to12,,,,,,Unsure what this means?,age0to12|BC-3 children individual level database FINAL,,,,,,,
age0to3,BC-3 children individual level database FINAL,discard,,(sum) age0to3,,,,,,Unsure what this means?,age0to3|BC-3 children individual level database FINAL,,,,,,,
age3to9,BC-3 children individual level database FINAL,discard,,(sum) age3to9,,,,,,Unsure what this means?,age3to9|BC-3 children individual level database FINAL,,,,,,,
age9to12,BC-3 children individual level database FINAL,discard,,(sum) age9to12,,,,,,Unsure what this means?,age9to12|BC-3 children individual level database FINAL,,,,,,,
agecat,BC-3 childs expanded database FINAL,keep,,Age categories,,,,,,,agecat|BC-3 childs expanded database FINAL,,,,,,,
altgrade,BC-3 childs all visit database FINAL,keep,,ALT (IU/L) grade,"0 = no grade,
1 = grade 1,
2 = grade 2,
3 = grade 3,
4 = grade 4
",,,,,Clinical finding; Need better description,altgrade|BC-3 childs all visit database FINAL,,,,,,,
anorexdur,BC-3 childs all visit database FINAL,keep,,Anorexia Duration,,,,,,,anorexdur|BC-3 childs all visit database FINAL,,,,,,,
anorexgrade,BC-3 childs all visit database FINAL,keep,,Anorexia Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",,,,,,anorexgrade|BC-3 childs all visit database FINAL,,,,,,,
antibiot,BC-3 childs hospitalizations FINAL,keep,,Intravenous antibiotics,"0=No,
1=Yes",,,,,,antibiot|BC-3 childs hospitalizations FINAL,,,,,,,
anyhb,BC-3 childs expanded database FINAL,keep,,Hemoglobin level (from CBC or hemocue),,,,,,Confirm units,anyhb|BC-3 childs expanded database FINAL,,,,,,,
anyHP,BC-3 children individual level database FINAL,keep,,Any placental malaria by histopathology,"0=No,
1=Yes",,,,,,anyHP|BC-3 children individual level database FINAL,,,,,,,
anymalaria,BC-3 childs expanded database FINAL,keep,,Malaria diagnosed today,"0=No, 1=Yes",,,,,,anymalaria|BC-3 childs expanded database FINAL,,,,,,,
autopsy,BC-3 childs deaths FINAL,keep,,information obtained as Autopsy report,1=checked,,,,,,autopsy|BC-3 childs deaths FINAL,,,,,,,
blood,BC-3 childs hospitalizations FINAL,keep,,Blood transfusion,"0=No,
1=Yes",,,,,,blood|BC-3 childs hospitalizations FINAL,,,,,,,
bloodsmr,BC-3 childs all visit database FINAL,keep,,Thick blood smear,"0=Not Indicated,1=Collected,2=Forgot to collect,3=Declined",,,,,,bloodsmr|BC-3 childs all visit database FINAL,,,,,,,
bloodsmr,BC-3 childs expanded database FINAL,keep,,Thick blood smear,"0=Not Indicated,1=Collected,2=Forgot to collect,3=Declined
",,,,,,bloodsmr|BC-3 childs expanded database FINAL,,,,,,,
bp,BC-3 childs all visit database FINAL,keep,,Blood pressure (mm Hg),,,,,,,bp|BC-3 childs all visit database FINAL,,,,,,,
BSdich,BC-3 childs all visit database FINAL,keep,,Blood smear results dichotomized,"0=Negative BS, 1=Positive Bs",,,,,,BSdich|BC-3 childs all visit database FINAL,,,,,,,
BSdichenroll,BC-3 children individual level database FINAL,keep,,Parasite prevalence by microscopy at enrollment,"0=Negative BS, 1=Positive Bs",,,,,"Asexual Plasmodium parasites present, by microscopy",BSdichenroll|BC-3 children individual level database FINAL,,,,,,,
bweight,BC-3 children individual level database FINAL,keep,,Birth weight,,,,,,,bweight|BC-3 children individual level database FINAL,,,,,,,
cbc,BC-3 childs all visit database FINAL,keep,,CBC (purple top),"0=Not Indicated,1=Collected,2=Forgot to collect,3=Declined",,,,,,cbc|BC-3 childs all visit database FINAL,,,,,,,
cbc,BC-3 childs expanded database FINAL,keep,,CBC (purple top),"0=Not Indicated,1=Collected,2=Forgot to collect,3=Declined
",,,,,,cbc|BC-3 childs expanded database FINAL,,,,,,,
chilldur,BC-3 childs all visit database FINAL,keep,,Chill Duration,,,,,,,chilldur|BC-3 childs all visit database FINAL,,,,,,,
chillgrade,BC-3 childs all visit database FINAL,keep,,Chill Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",,,,,,chillgrade|BC-3 childs all visit database FINAL,,,,,,,
chosp,BC-3 childs all visit database FINAL,keep,,was the child hospitalized today,"0=Not referred,
1=Referred",,,,,IRI?,chosp|BC-3 childs all visit database FINAL,,,,,,,
cmal,BC-3 childs all visit database FINAL,keep,,Cerebral malaria,1=checked,,,,,IRI?,cmal|BC-3 childs all visit database FINAL,,,,,,,
compmal,BC-3 children individual level database FINAL,keep,,(sum) compmal,,,,,,Unsure what this means?,compmal|BC-3 children individual level database FINAL,,,,,,,
contexpln,BC-3 childs deaths FINAL,keep,,Contact report explanation,,,,,,,contexpln|BC-3 childs deaths FINAL,,,,,,,
contreport,BC-3 childs deaths FINAL,discard,,information obtained as Contact report,1=checked,,,,,,contreport|BC-3 childs deaths FINAL,,,,,,,
convul,BC-3 childs all visit database FINAL,keep,,1-2 convulsions over 24 hour period,1=checked,,,,,,convul|BC-3 childs all visit database FINAL,,,,,,,
coughdur,BC-3 childs all visit database FINAL,keep,,Cough Duration,,,,,,,coughdur|BC-3 childs all visit database FINAL,,,,,,,
coughgrade,BC-3 childs all visit database FINAL,keep,,Cough Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",,,,,,coughgrade|BC-3 childs all visit database FINAL,,,,,,,
cv,BC-3 childs all visit database FINAL,keep,,cv,,,,,,Define?,cv|BC-3 childs all visit database FINAL,,,,,,,
cvdur,BC-3 childs all visit database FINAL,keep,,CV Duration,,,,,,Define?,cvdur|BC-3 childs all visit database FINAL,,,,,,,
cvgrade,BC-3 childs all visit database FINAL,keep,,CV Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",,,,,,cvgrade|BC-3 childs all visit database FINAL,,,,,,,
date,BC-3 childs all visit database FINAL,keep,,Visit date,date,,,,,,date|BC-3 childs all visit database FINAL,,,,,,,
date,BC-3 childs deaths FINAL,keep,,Visit date,date,,,,,,date|BC-3 childs deaths FINAL,,,,,,,
date,BC-3 childs expanded database FINAL,keep,,Date of observation,date,,,,,,date|BC-3 childs expanded database FINAL,,,,,,,
date,BC-3 childs hospitalizations FINAL,keep,,Date form completed,date,,,,,,date|BC-3 childs hospitalizations FINAL,,,,,,,
date1,BC-3 childs all visit database FINAL,keep,,last date given medication 1,date,,,,,,date1|BC-3 childs all visit database FINAL,,,,,,,
date1stmalaria,BC-3 children individual level database FINAL,keep,,Date of first episode of malaria,date,,,,,,date1stmalaria|BC-3 children individual level database FINAL,,,,,,,
date2,BC-3 childs all visit database FINAL,keep,,last date given medication 2,date,,,,,,date2|BC-3 childs all visit database FINAL,,,,,,,
date3,BC-3 childs all visit database FINAL,keep,,last date given medication 3,date,,,,,,date3|BC-3 childs all visit database FINAL,,,,,,,
date4,BC-3 childs all visit database FINAL,keep,,last date given medication 4,date,,,,,,date4|BC-3 childs all visit database FINAL,,,,,,,
datedisch,BC-3 childs hospitalizations FINAL,keep,,Date of Discharge,date,,,,,,datedisch|BC-3 childs hospitalizations FINAL,,,,,,,
datehosp,BC-3 childs hospitalizations FINAL,keep,,Date of Admission,date,,,,,,datehosp|BC-3 childs hospitalizations FINAL,,,,,,,
days,BC-3 childs expanded database FINAL,keep,,value of 1 for each day of obervation,1,,,,,,days|BC-3 childs expanded database FINAL,,,,,,,
deathd,BC-3 childs deaths FINAL,keep,,Date of death,date,,,,,,deathd|BC-3 childs deaths FINAL,,,,,,,
deathdx1,BC-3 childs deaths FINAL,keep,,1st cause of death,,,,,,Consider relabeling/IRI first cause of death,deathdx1|BC-3 childs deaths FINAL,,,,,,,
deathdx2,BC-3 childs deaths FINAL,keep,,2st cause of death,,,,,,Consider relabeling/IRI 2nd cause of death,deathdx2|BC-3 childs deaths FINAL,,,,,,,
deathdx3,BC-3 childs deaths FINAL,keep,,3st cause of death,,,,,,Consider relabeling/IRI third cause of death,deathdx3|BC-3 childs deaths FINAL,,,,,,,
diag1,BC-3 childs all visit database FINAL,keep,,Diagnosis1,,,,,,,diag1|BC-3 childs all visit database FINAL,,,,,,,
diag1,BC-3 childs expanded database FINAL,keep,,Diagnosis1,,,,,,Difference between Diganosis1-7?,diag1|BC-3 childs expanded database FINAL,,,,,,,
diag2,BC-3 childs all visit database FINAL,keep,,Diagnosis2,,,,,,,diag2|BC-3 childs all visit database FINAL,,,,,,,
diag2,BC-3 childs expanded database FINAL,keep,,Diagnosis2,,,,,,,diag2|BC-3 childs expanded database FINAL,,,,,,,
diag3,BC-3 childs all visit database FINAL,keep,,Diagnosis3,,,,,,,diag3|BC-3 childs all visit database FINAL,,,,,,,
diag3,BC-3 childs expanded database FINAL,keep,,Diagnosis3,,,,,,,diag3|BC-3 childs expanded database FINAL,,,,,,,
diag4,BC-3 childs all visit database FINAL,keep,,Diagnosis4,,,,,,,diag4|BC-3 childs all visit database FINAL,,,,,,,
diag4,BC-3 childs expanded database FINAL,keep,,Diagnosis4,,,,,,,diag4|BC-3 childs expanded database FINAL,,,,,,,
diag5,BC-3 childs all visit database FINAL,keep,,Diagnosis5,,,,,,,diag5|BC-3 childs all visit database FINAL,,,,,,,
diag5,BC-3 childs expanded database FINAL,keep,,Diagnosis5,,,,,,,diag5|BC-3 childs expanded database FINAL,,,,,,,
diag6,BC-3 childs all visit database FINAL,keep,,Diagnosis6,,,,,,,diag6|BC-3 childs all visit database FINAL,,,,,,,
diag6,BC-3 childs expanded database FINAL,keep,,Diagnosis6,,,,,,,diag6|BC-3 childs expanded database FINAL,,,,,,,
diag7,BC-3 childs all visit database FINAL,keep,,Diagnosis7,,,,,,,diag7|BC-3 childs all visit database FINAL,,,,,,,
diag7,BC-3 childs expanded database FINAL,keep,,Diagnosis7,,,,,,,diag7|BC-3 childs expanded database FINAL,,,,,,,
diarrdur,BC-3 childs all visit database FINAL,keep,,Diarrhea Duration,,,,,,,diarrdur|BC-3 childs all visit database FINAL,,,,,,,
diarrgrade,BC-3 childs all visit database FINAL,keep,,Diarrhea Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",,,,,,diarrgrade|BC-3 childs all visit database FINAL,,,,,,,
dob,BC-3 children individual level database FINAL,keep,,Date of birth,date,,,,,,dob|BC-3 children individual level database FINAL,,,,,,,
dob,BC-3 childs expanded database FINAL,keep,,Date of birth,date,,,,,,dob|BC-3 childs expanded database FINAL,,,,,,,
duration,BC-3 childs expanded database FINAL,keep,,Duration of follow-up,,,,,,,duration|BC-3 childs expanded database FINAL,,,,,,,
dysphdur,BC-3 childs all visit database FINAL,keep,,Dysphagia Duration,,,,,,,dysphdur|BC-3 childs all visit database FINAL,,,,,,,
dysphgrade,BC-3 childs all visit database FINAL,keep,,Dysphagia Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",,,,,,dysphgrade|BC-3 childs all visit database FINAL,,,,,,,
enddate,BC-3 children individual level database FINAL,keep,,Last day in the study,date,,,,,,enddate|BC-3 children individual level database FINAL,,,,,,,
endo,BC-3 childs all visit database FINAL,keep,,Endo,,,,,,Define?,endo|BC-3 childs all visit database FINAL,,,,,,,
endodur,BC-3 childs all visit database FINAL,keep,,Endo Duration,,,,,,,endodur|BC-3 childs all visit database FINAL,,,,,,,
endograde,BC-3 childs all visit database FINAL,keep,,Endo Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",,,,,,endograde|BC-3 childs all visit database FINAL,,,,,,,
enrollage,BC-3 children individual level database FINAL,keep,,Mothers age at enrollment in years,,,,,,,enrollage|BC-3 children individual level database FINAL,,,,,,,
enrolldate,BC-3 children individual level database FINAL,keep,,Mother's date of enrollment,date,,,,,,enrolldate|BC-3 children individual level database FINAL,,,,,,,
eye,BC-3 childs all visit database FINAL,keep,,Eye,,,,,,,eye|BC-3 childs all visit database FINAL,,,,,,,
eyedur,BC-3 childs all visit database FINAL,keep,,Eye Duration,,,,,,,eyedur|BC-3 childs all visit database FINAL,,,,,,,
eyegrade,BC-3 childs all visit database FINAL,keep,,Eye Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",,,,,,eyegrade|BC-3 childs all visit database FINAL,,,,,,,
fatigdur,BC-3 childs all visit database FINAL,keep,,Fatigue Duration,,,,,,,fatigdur|BC-3 childs all visit database FINAL,,,,,,,
fatiggrade,BC-3 childs all visit database FINAL,keep,,Fatigue Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",,,,,,fatiggrade|BC-3 childs all visit database FINAL,,,,,,,
febrile,BC-3 childs all visit database FINAL,keep,,Whether child was febrile,"0=No,
1=Yes",,,,,,febrile|BC-3 childs all visit database FINAL,,,,,,,
febrile,BC-3 childs expanded database FINAL,keep,,Whether child was febrile,,,,,,Different values than Fever,febrile|BC-3 childs expanded database FINAL,,,,,,,
fever,BC-3 childs all visit database FINAL,keep,,Fever,"0=No,
1=Yes",,,,,,fever|BC-3 childs all visit database FINAL,,,,,,,
fever,BC-3 childs expanded database FINAL,keep,,Fever,"0=No,1=Yes",,,,,,fever|BC-3 childs expanded database FINAL,,,,,,,
feverdur,BC-3 childs all visit database FINAL,keep,,Fever Duration,,,,,,,feverdur|BC-3 childs all visit database FINAL,,,,,,,
filterpap,BC-3 childs all visit database FINAL,keep,,filter paper,"0=Not Indicated,1=Collected,2=Forgot to collect,3=Declined",,,,,,filterpap|BC-3 childs all visit database FINAL,,,,,,,
filterpap,BC-3 childs expanded database FINAL,keep,,filter paper,"0=Not Indicated,1=Collected,2=Forgot to collect,3=Declined
",,,,,,filterpap|BC-3 childs expanded database FINAL,,,,,,,
firstmalaria,BC-3 children individual level database FINAL,keep,,Whether the child has had malaria,"0=No, 1=Yes",,,,,,firstmalaria|BC-3 children individual level database FINAL,,,,,,,
fluids,BC-3 childs hospitalizations FINAL,keep,,Intravenous fluids,"0=No,
1=Yes",,,,,"Not necessarily diarrhea treament, use new IRI",fluids|BC-3 childs hospitalizations FINAL,,,,,,,
GAcat,BC-3 children individual level database FINAL,keep,,Gestatinal age at enrollment categories,"1=(12-16weeks), 2=(>16-20 weeks)",,,,,,GAcat|BC-3 children individual level database FINAL,,,,,,,
GAenroll,BC-3 children individual level database FINAL,keep,,Gestational age at enrollment,,,,,,,GAenroll|BC-3 children individual level database FINAL,,,,,,,
game,BC-3 childs all visit database FINAL,keep,,Gametocytes,"0 = Absent,1 = Present",,,,,,game|BC-3 childs all visit database FINAL,,,,,,,
game,BC-3 childs expanded database FINAL,keep,,Gametocytes,"0 = Absent,1 = Present",,,,,,game|BC-3 childs expanded database FINAL,,,,,,,
game1,BC-3 childs all visit database FINAL,keep,,gametocytes1,"0 = Absent,1 = Present",,,,,Difference between this and game?,game1|BC-3 childs all visit database FINAL,,,,,,,
game2,BC-3 childs all visit database FINAL,keep,,gametocytes2,"0 = Absent,1 = Present",,,,,Difference between this and game?,game2|BC-3 childs all visit database FINAL,,,,,,,
game3,BC-3 childs all visit database FINAL,keep,,gametocytes3,"0 = Absent,1 = Present",,,,,Difference between this and game?,game3|BC-3 childs all visit database FINAL,,,,,,,
gender,BC-3 children individual level database FINAL,keep,,Gender,"1=Male, 2=Female",,,,,,gender|BC-3 children individual level database FINAL,,,,,,,
gestage,BC-3 children individual level database FINAL,keep,,Gestational age at birth in weeks,,,,,,,gestage|BC-3 children individual level database FINAL,,,,,,,
gi,BC-3 childs all visit database FINAL,keep,,gi,,,,,,Define? Gastrointestinal symptoms?,gi|BC-3 childs all visit database FINAL,,,,,,,
gidur,BC-3 childs all visit database FINAL,keep,,GI Duration,,,,,,Define?,gidur|BC-3 childs all visit database FINAL,,,,,,,
gigrade,BC-3 childs all visit database FINAL,keep,,GI Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",,,,,Define?,gigrade|BC-3 childs all visit database FINAL,,,,,,,
Gravidcat,BC-3 children individual level database FINAL,keep,,Categories of gravidity,"1,2,3=>3",,,,,,Gravidcat|BC-3 children individual level database FINAL,,,,,,,
Gravidity,BC-3 children individual level database FINAL,keep,,Total number of pregnancies,,,,,,,Gravidity|BC-3 children individual level database FINAL,,,,,,,
gu,BC-3 childs all visit database FINAL,keep,,gu,,,,,,,gu|BC-3 childs all visit database FINAL,,,,,,,
gudur,BC-3 childs all visit database FINAL,keep,,GU Duration,,,,,,,gudur|BC-3 childs all visit database FINAL,,,,,,,
gugrade,BC-3 childs all visit database FINAL,keep,,GU Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",,,,,,gugrade|BC-3 childs all visit database FINAL,,,,,,,
